keyword,cluster_id,paper_count,assignment_status,requires_human_review,descriptive_tfidf_terms_not_final_topics,representative_titles,mean_centroid_similarity,minimum_assignment_margin,reviewer_cluster_coherent_yes_no,reviewer_granularity_too_coarse_ok_too_fine,reviewer_accept_current_membership_yes_no,reviewer_accept_numeric_exception_yes_no,reviewer_notes
Design Guidelines,DG-C01,3,numeric_rule_failed_requires_review,True,design | knowledge | ui | visualization | constraints | guidelines | design knowledge | instances | visualization design | guideline | uis | component | characteristics | actions | tools,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines | Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco | Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines",0.8967353701591492,0.10113447904586792,,,,,
Design Guidelines,DG-C02,4,numeric_rule_failed_requires_review,True,design | guidelines | school | map | eu | design guidelines | planning | based | development | user | public | architecture | user experience | study | section,The equitable use concept in sidewalk design | A Comparative Study of Chinese and American Rural Design Guidelines | User Experience Design in Professional Map-Based Geo-Portals | Healthy Eating Design Guidelines for School Architecture,0.8539289832115173,0.08480715751647949,,,,,
Design Guidelines,DG-C03,6,numeric_rule_failed_requires_review,True,design | natural | immersive | visualization | framework | interaction | experience | hci | experiences | media | participants | aesthetics | users | user | research,From interaction to trajectories: designing coherent journeys through user experiences | Towards a Model of Information Aesthetics in Information Visualization | The Extended Likeability Framework: A Theoretical Framework for and a Practical Case of Designing Likeable Media Applications for Preschoolers | The Rough Mile: Testing a Framework of Immersive Practice | Avoiding virtual dystopia: A design theory for emancipatory participatory immersive platforms,0.8775473237037659,0.04252052307128906,,,,,
Design Guidelines,DG-C04,9,numeric_rule_failed_requires_review,True,design | language | guidelines | task | software | principles | user | eo | trustworthiness | interface | user interface | problem | architecture | systems | types,Separation of Modeling Principles and Design Principles in Enterprise Engineering | A Preliminary Proposal Towards Unambiguous Definitions for Modular Interfaces and Interactions | Design Study Methodology: Reflections from the Trenches and the Stacks | Towards Canonical Task Types for User Interface Design | Design Guidelines for Domain Specific Languages,0.8689045310020447,0.03120243549346924,,,,,
Design Heuristics,DH-C01,7,numerically_selected_pending_human_veto,True,design | heuristics | heuristic | design heuristics | knowledge | product | concepts | et | use | et al | designers | al | problem | designs | products,Design Heuristics in Innovative Products | Evidence-based design heuristics for idea generation | Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization | Formal system for the expression of target-oriented design heuristics | What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,0.9338151812553406,0.12274342775344849,,,,,
Design Heuristics,DH-C02,3,numerically_selected_pending_human_veto,True,design | formats | communication | communication formats | end | use | users | dialogue | time | people | technology | taxonomy | designers | human | assistive,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception | Dialogue appropriate to assistive technology product design: A taxonomy of communication formats in relation to modes of sensory perception | From human factors to human actors to human crafters,0.9417924880981445,0.08632469177246094,,,,,
Design Patterns,DPAT-C01,14,numeric_rule_failed_requires_review,True,design | patterns | game | ai | pattern | systems | design patterns | alexander | privacy | nature | interaction | achievement | ethical | human | game design,An overview of human-computer interaction patterns in pervasive systems | Thriving Systems Theory: An Emergent Information Systems Design Theory | Design Patterns for AI-based Systems: A Multivocal Literature Review and Pattern Repository | Particles of a Whole: Design Patterns for Transparent and Auditable AI-Systems | Design patterns in intelligent systems,0.8714194893836975,0.002932727336883545,,,,,
Design Patterns,DPAT-C02,15,numeric_rule_failed_requires_review,True,patterns | design | pattern | design patterns | knowledge | dsl | domain | language | video | problem | context | teachers | management | pattern language | solutions,"A pattern approach to interaction design | Industrial experience with design patterns | Teachers’ Collaborative Pattern Language Design | A semantic representation for domain-specific patterns | Patterns, anticipation and participatory futures",0.8965887427330017,0.009739339351654053,,,,,
Design Patterns,DPAT-C03,21,numeric_rule_failed_requires_review,True,patterns | design | pattern | design patterns | visualization | model | modeling | software | meta | structural | architecture | data | design pattern | service | oriented,Understanding and using patterns in software development | Catalogue of general-purpose software design patterns | Elemental design patterns: A formal semantics for composition of OO software architecture | Design patterns for component-oriented software development | “Modeling-by-Patterns” of Web applications,0.8918755650520325,0.010151028633117676,,,,,
Design Rules,DRUL-C01,2,numeric_rule_failed_requires_review,True,design | user | systems | mechanical | experience | hci | electronics | stable | soft | technology | interaction | neural | figure | devices | device,"Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted | Soft, Flexible, and Stretchable Platforms for Tissue-Interfaced Bioelectronics",0.9126764535903931,0.11161422729492188,,,,,
Design Rules,DRUL-C02,9,numeric_rule_failed_requires_review,True,design | rules | technical | modular | organizational | design rules | modularity | architecture | user | systems | process | baldwin | development | mathematical | human,"Design Rules, Volume 2: Chapter 6—The Value Structure of Technologies, Part 1: Mapping Functional Components | Studying Software Architecture Through Design Spaces and Rules | Steps toward a cognitive engineering: Design rules based on analyses of human error | Design Rules, Volume 2: Chapter 4—The Mirroring Hypothesis: Linkages Inside and Across Transaction Free Zones | Toward a Conceptualization of Organizational Modularity",0.8720934391021729,0.050799667835235596,,,,,
Design frameworks,DF-C01,2,numeric_rule_failed_requires_review,True,learning | design | activities | al | et al | et | participants | learning activities | experiencing | learning design | experiencing vulnerability | vulnerability | research | empower | online,Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults | The E-Design Assessment Tool: an evidence-informed approach towards a consistent terminology for quantifying online distance learning activities,0.9311424493789673,0.14100217819213867,,,,,
Design frameworks,DF-C02,4,numeric_rule_failed_requires_review,True,game | design | ai | game design | systemic | systemic design | player | service | frameworks | games | learning | framework | dynamics | mda | experience,"The Experience, Dynamics and Artifacts Framework: Towards a Holistic Model for Designing Serious and Entertainment Games | The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games | Systematic Review of Systemic Design Frameworks for Complex Challenges | Designing for Trust, Progress, and Dignity: A Conceptual Framework for Reliability, Responsiveness, and Relational Quality in AI-Enabled Service Systems",0.9168247580528259,0.09621942043304443,,,,,
Design knowledge,DK-C01,23,numeric_rule_failed_requires_review,True,design | knowledge | principles | hci | design principles | patterns | pattern | design knowledge | human | learning | practice | students | ai | user | usability,"Design Principles: Literature Review, Analysis, and Future Directions | Utilization of design principles for hybrid learning configurations by interprofessional design teams | Utilization of design principles for hybrid learning configurations by interprofessional design teams | Guidelines supporting the formulation of design principles | Designing as reflective conversation with the materials of a design situation",0.8747128844261169,-0.004750251770019531,,,,,
Design knowledge,DK-C02,37,numeric_rule_failed_requires_review,True,design | knowledge | dsr | design knowledge | research | dr | theory | ontology | principles | data | project | methods | design theory | digital | design principles,Towards a Method for Design Principle Development in Information Systems | A Typology of Knowledge Creation in Design Science Research Projects | The anatomy of a design theory | A Multi-Grounded Design Research Process | Accumulating design knowledge: A mechanisms-based approach,0.8865880370140076,0.0029960274696350098,,,,,
Design knowledge,DK-C03,8,numeric_rule_failed_requires_review,True,knowledge | design | product | design knowledge | product design | process | prototyping | causal | cpm | research | process knowledge | methods | industrial | dimensions | near,Design knowledge for decision-making process in a DFX product design approach | What is design knowledge from the viewpoint of CPM/PDD? | A study of practice based design research models from knowledge integration perspective | ON the HIERARCHICAL LEVELS of DESIGN KNOWLEDGE | How industrial design knowledge differs from engineering design knowledge,0.9242278337478638,0.03019934892654419,,,,,
