keyword,cluster_id,paper_id,title,review_role,own_centroid_similarity,nearest_other_centroid_similarity,assignment_margin,assignment_status,reviewer_accept_membership_yes_no,reviewer_suggested_cluster_id,reviewer_cluster_coherent_yes_no,reviewer_granularity_too_coarse_ok_too_fine,reviewer_notes
Design Guidelines,DG-C01,f0b2517a04a4,Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines,representative+boundary,0.8782225847244263,0.7770881056785583,0.10113447904586792,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C01,ee0a5b26f6dc,Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco,representative+boundary,0.9009275436401367,0.7915821075439453,0.1093454360961914,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C01,00d7fbafe65f,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines",representative+boundary,0.9110560417175293,0.7972395420074463,0.11381649971008301,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C02,cb7daae2b94f,User Experience Design in Professional Map-Based Geo-Portals,representative+boundary,0.8558189868927002,0.7710118293762207,0.08480715751647949,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C02,0ef759265f23,The equitable use concept in sidewalk design,representative+boundary,0.8720276355743408,0.7861305475234985,0.08589708805084229,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C02,0176348439b8,A Comparative Study of Chinese and American Rural Design Guidelines,representative+boundary,0.8610347509384155,0.7512454986572266,0.10978925228118896,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C03,d0a17557440f,Avoiding virtual dystopia: A design theory for emancipatory participatory immersive platforms,boundary,0.8682774305343628,0.7786508798599243,0.08962655067443848,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C03,615169de6f0e,From interaction to trajectories: designing coherent journeys through user experiences,representative,0.9172383546829224,0.8231443166732788,0.09409403800964355,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C03,75f43821c56f,Towards a Model of Information Aesthetics in Information Visualization,representative+boundary,0.8755124807357788,0.8329919576644897,0.04252052307128906,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C03,0842498049c7,The Extended Likeability Framework: A Theoretical Framework for and a Practical Case of Designing Likeable Media Applications for Preschoolers,representative+boundary,0.8742142915725708,0.7820366621017456,0.0921776294708252,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C04,b357bc5a3d3b,Towards Canonical Task Types for User Interface Design,boundary,0.8777146935462952,0.8114297389984131,0.06628495454788208,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C04,139a1e71d8dc,Separation of Modeling Principles and Design Principles in Enterprise Engineering,representative,0.888638973236084,0.7806920409202576,0.10794693231582642,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C04,b14f85b19a87,Design Study Methodology: Reflections from the Trenches and the Stacks,representative+boundary,0.8802863955497742,0.8490839600563049,0.03120243549346924,numeric_rule_failed_requires_review,,,,,
Design Guidelines,DG-C04,c216cc01fe23,A Preliminary Proposal Towards Unambiguous Definitions for Modular Interfaces and Interactions,representative+boundary,0.8870660066604614,0.8205887079238892,0.06647729873657227,numeric_rule_failed_requires_review,,,,,
Design Heuristics,DH-C01,cd211147691a,Design heuristics set for X: A design aid for assistive product concept generation,boundary,0.9145366549491882,0.7917932271957397,0.12274342775344849,numerically_selected_pending_human_veto,,,,,
Design Heuristics,DH-C01,9eecf23c4ce7,Design Heuristics for Web-Based Severe Weather Risk Communication,boundary,0.8882734179496765,0.7564820051193237,0.13179141283035278,numerically_selected_pending_human_veto,,,,,
