paper_id,title,keyword,cluster_id,cluster_index,group_k,assignment_method,assignment_status
00d7fbafe65f,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines",Design Guidelines,DG-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
07efc8033023,Scaffolding Complex Learning: The Mechanisms of Structuring and Problematizing Student Work,Design Guidelines,DG-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
0842498049c7,The Extended Likeability Framework: A Theoretical Framework for and a Practical Case of Designing Likeable Media Applications for Preschoolers,Design Guidelines,DG-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
615169de6f0e,From interaction to trajectories: designing coherent journeys through user experiences,Design Guidelines,DG-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
65c31c577170,The Rough Mile: Testing a Framework of Immersive Practice,Design Guidelines,DG-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
662ae9cea17d,1C3-2 A Literature Survey on UX Design Properties and Principles Of Smart Device Design for the Disabled::From the Perspective of the Value/Quality of Human Life,Design Guidelines,DG-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
75f43821c56f,Towards a Model of Information Aesthetics in Information Visualization,Design Guidelines,DG-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
b14f85b19a87,Design Study Methodology: Reflections from the Trenches and the Stacks,Design Guidelines,DG-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
b357bc5a3d3b,Towards Canonical Task Types for User Interface Design,Design Guidelines,DG-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
ca185d91b684,Embracing Non-Natural Design in Human-Computer Interaction,Design Guidelines,DG-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
d0a17557440f,Avoiding virtual dystopia: A design theory for emancipatory participatory immersive platforms,Design Guidelines,DG-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
e59a343ad585,The kaleidoscope of effective gamification: deconstructing gamification in business applications,Design Guidelines,DG-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
ee0a5b26f6dc,Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco,Design Guidelines,DG-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
f0b2517a04a4,Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines,Design Guidelines,DG-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
0176348439b8,A Comparative Study of Chinese and American Rural Design Guidelines,Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
0ef759265f23,The equitable use concept in sidewalk design,Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
139a1e71d8dc,Separation of Modeling Principles and Design Principles in Enterprise Engineering,Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
14dcaf15aa66,Terminologia kohtaa käytettävyyden. Terminologisen käytettävyyden ydintä rakentamassa,Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
2cceb8eaa8c9,Design Guidelines and Strategies for Interim Innovation,Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
48af90d5dfe7,Design Guidelines for Domain Specific Languages,Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
5e43d7253569,Bridging HRI Theory and Practice: Design Guidelines for Robot Communication in Dairy Farming,Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
69bb5b15bdd3,Heuristics for Supporting Cooperative Dashboard Design,Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
85ba95ab4fa0,"Six Guidelines for Trustworthy, Ethical and Responsible Automation Design",Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
866322a64dc5,Healthy Eating Design Guidelines for School Architecture,Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
9020aa145571,A Process Framework for Designing Software Reference Architectures for Providing Tools as a Service,Design Guidelines,DG-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
